region_key,year,yield_kg_ha
ia,1995,7756.0
ia,1996,8366.2
ia,1997,10022.5
ia,1998,10858.3
ia,1999,9376.3
ia,2000,11889.0
ia,2001,6675.1
ia,2002,8880.5
ia,2003,8110.4
ia,2004,13414.0
ia,2005,2777.1
ia,2006,1962.7
ia,2007,4178.7
ia,2008,7092.5
ia,2009,13249.3
ia,2010,8922.9
ia,2011,8885.6
ia,2012,80.9
ia,2013,4645.3
ia,2014,11310.1
ia,2015,10270.9
ia,2016,7828.6
ia,2017,3093.0
ia,2018,10403.9
ia,2019,6234.7
ia,2020,5656.3
ia,2021,10346.0
ia,2022,5931.9
ia,2023,4104.8
ia,2024,11496.1
il,1995,7290.0
il,1996,10340.4
il,1997,8065.9
il,1998,9633.3
il,1999,3219.2
il,2000,10418.7
il,2001,6272.6
il,2002,2405.9
il,2003,7972.7
il,2004,12197.3
il,2005,1568.7
il,2006,4277.5
il,2007,4785.7
il,2008,5992.5
il,2009,11522.4
il,2010,8284.0
il,2011,5393.9
il,2012,7.5
il,2013,2580.7
il,2014,10838.3
il,2015,8677.6
il,2016,5234.8
il,2017,5526.9
il,2018,8960.3
il,2019,8746.0
il,2020,6183.2
il,2021,9841.2
il,2022,5255.3
il,2023,8866.9
il,2024,10660.6
mn,1995,10403.0
mn,1996,12565.5
mn,1997,11351.8
mn,1998,9985.2
mn,1999,11195.5
mn,2000,10682.5
mn,2001,4211.6
mn,2002,12034.5
mn,2003,7465.4
mn,2004,13584.5
mn,2005,4728.3
mn,2006,1561.3
mn,2007,1752.6
mn,2008,3140.4
mn,2009,10129.0
mn,2010,10289.8
mn,2011,6819.3
mn,2012,4713.9
mn,2013,7324.5
mn,2014,12055.8
mn,2015,10132.5
mn,2016,10731.7
mn,2017,12182.8
mn,2018,11290.8
mn,2019,11553.6
mn,2020,6828.8
mn,2021,2367.0
mn,2022,1985.7
mn,2023,2810.5
mn,2024,12389.8
ne,1995,730.3
ne,1996,10612.0
ne,1997,3994.4
ne,1998,5380.2
ne,1999,9186.7
ne,2000,3365.8
ne,2001,615.6
ne,2002,276.1
ne,2003,23.5
ne,2004,9388.9
ne,2005,614.2
ne,2006,2339.2
ne,2007,382.2
ne,2008,1767.2
ne,2009,4978.8
ne,2010,4517.3
ne,2011,5741.4
ne,2012,109.8
ne,2013,943.4
ne,2014,5595.2
ne,2015,9110.1
ne,2016,3877.3
ne,2017,840.4
ne,2018,5351.3
ne,2019,4780.1
ne,2020,5727.6
ne,2021,732.2
ne,2022,3116.1
ne,2023,8023.4
ne,2024,6367.7
in,1995,7448.2
in,1996,7669.2
in,1997,7346.4
in,1998,10318.1
in,1999,1396.5
in,2000,11348.0
in,2001,7616.8
in,2002,2380.7
in,2003,10432.7
in,2004,11513.5
in,2005,1383.8
in,2006,8454.5
in,2007,4809.0
in,2008,5879.0
in,2009,7968.8
in,2010,8672.9
in,2011,5305.4
in,2012,265.7
in,2013,7018.1
in,2014,7052.1
in,2015,10931.9
in,2016,3488.2
in,2017,6961.9
in,2018,9461.3
in,2019,8820.1
in,2020,7517.3
in,2021,8471.5
in,2022,3946.8
in,2023,8623.5
in,2024,9348.4
sd,1995,1192.4
sd,1996,5087.7
sd,1997,9828.3
sd,1998,5155.2
sd,1999,2214.6
sd,2000,5492.7
sd,2001,1023.6
sd,2002,1217.4
sd,2003,4220.5
sd,2004,5639.3
sd,2005,1231.4
sd,2006,221.4
sd,2007,1266.1
sd,2008,3787.6
sd,2009,9031.1
sd,2010,10005.1
sd,2011,8383.3
sd,2012,2408.3
sd,2013,8530.3
sd,2014,1176.2
sd,2015,9351.4
sd,2016,2056.0
sd,2017,1968.4
sd,2018,2296.9
sd,2019,11380.7
sd,2020,5426.2
sd,2021,1191.9
sd,2022,2202.3
sd,2023,2322.4
sd,2024,8018.1
oh,1995,7664.8
oh,1996,9119.9
oh,1997,11080.8
oh,1998,10406.2
oh,1999,1137.7
oh,2000,10721.3
oh,2001,8060.5
oh,2002,2119.9
oh,2003,10857.3
oh,2004,10737.5
oh,2005,4646.1
oh,2006,8269.7
oh,2007,5051.4
oh,2008,4387.6
oh,2009,4293.5
oh,2010,4627.1
oh,2011,3994.7
oh,2012,3034.5
oh,2013,11693.7
oh,2014,6454.9
oh,2015,11475.1
oh,2016,3943.8
oh,2017,11739.6
oh,2018,9829.9
oh,2019,10110.6
oh,2020,6015.1
oh,2021,7472.4
oh,2022,8655.2
oh,2023,10478.4
oh,2024,10328.9
wi,1995,6451.4
wi,1996,10758.3
wi,1997,12278.4
wi,1998,9646.2
wi,1999,8799.3
wi,2000,11740.1
wi,2001,5709.2
wi,2002,6629.7
wi,2003,3026.6
wi,2004,13064.2
wi,2005,4377.8
wi,2006,3502.0
wi,2007,4770.1
wi,2008,8302.8
wi,2009,11820.7
wi,2010,9834.4
wi,2011,6590.4
wi,2012,372.1
wi,2013,11073.7
wi,2014,8161.8
wi,2015,8832.9
wi,2016,5144.8
wi,2017,11406.0
wi,2018,11505.1
wi,2019,11580.9
wi,2020,10827.5
wi,2021,7078.2
wi,2022,10749.0
wi,2023,3501.0
wi,2024,12186.0
ks,1995,2329.0
ks,1996,3552.2
ks,1997,3784.9
ks,1998,2233.2
ks,1999,4213.9
ks,2000,3728.5
ks,2001,152.5
ks,2002,0.0
ks,2003,258.5
ks,2004,4450.4
ks,2005,2193.5
ks,2006,261.0
ks,2007,3216.8
ks,2008,509.0
ks,2009,3899.8
ks,2010,253.0
ks,2011,62.9
ks,2012,5.9
ks,2013,1591.6
ks,2014,5795.4
ks,2015,2275.3
ks,2016,3012.1
ks,2017,427.3
ks,2018,1017.4
ks,2019,1389.6
ks,2020,94.9
ks,2021,281.9
ks,2022,490.4
ks,2023,3637.3
ks,2024,993.3
mo,1995,6615.8
mo,1996,7005.7
mo,1997,2807.1
mo,1998,7066.5
mo,1999,2562.1
mo,2000,8296.4
