region_key,month,day,TMIN,TMAX,IRRAD,VAP,WIND,RAIN,n_years
ia,1,1,-10.4867,-2.54,6416666.7,2.9981,3.4686,0.063,30
ia,1,2,-10.0167,-2.4,6825000.0,3.3826,3.1027,0.0937,30
ia,1,3,-9.86,-0.4333,6520333.3,3.3934,3.2174,0.1083,30
ia,1,4,-9.28,-1.5033,6590000.0,3.3489,3.5852,0.1007,30
ia,1,5,-10.5333,-1.5633,6983333.3,3.1838,3.5777,0.0823,30
ia,1,6,-10.76,-3.3167,7261666.7,3.1781,3.1427,0.0877,30
ia,1,7,-11.02,-2.3133,7560333.3,3.1187,3.1319,0.0713,30
ia,1,8,-9.4733,-0.8467,7159666.7,3.1834,3.0945,0.0453,30
ia,1,9,-9.37,-0.4333,6718333.3,3.3275,3.4109,0.066,30
ia,1,10,-9.4167,-1.0667,7048666.7,3.2599,3.396,0.11,30
ia,1,11,-8.6333,-0.1767,6752666.7,3.5747,3.2059,0.0867,30
ia,1,12,-9.84,-1.2867,7029333.3,3.2118,3.4367,0.0907,30
ia,1,13,-11.57,-2.83,7779666.7,2.9038,3.3235,0.016,30
ia,1,14,-10.23,-2.3433,6910333.3,3.1201,3.1324,0.1357,30
ia,1,15,-11.0067,-2.45,8196000.0,2.9599,3.248,0.134,30
ia,1,16,-10.6433,-2.4267,7252333.3,3.164,3.4379,0.097,30
ia,1,17,-10.57,-2.4567,6947666.7,3.2213,3.435,0.146,30
ia,1,18,-11.1633,-0.9,7955000.0,3.0799,3.4915,0.1253,30
ia,1,19,-11.87,-2.5267,8509666.7,2.9606,3.378,0.111,30
ia,1,20,-12.71,-4.3933,7685333.3,2.7859,2.8467,0.074,30
ia,1,21,-11.3567,-3.66,7678000.0,3.155,3.1558,0.1103,30
ia,1,22,-9.62,-1.5433,7719333.3,3.4534,3.4856,0.157,30
ia,1,23,-10.6467,-2.6867,7986666.7,3.1518,3.356,0.102,30
ia,1,24,-10.6133,-2.0567,8609666.7,3.157,3.0819,0.0693,30
ia,1,25,-10.3333,-2.31,8441333.3,3.1342,3.2059,0.1153,30
ia,1,26,-10.2567,-1.5167,8592666.7,3.1438,3.4496,0.1793,30
ia,1,27,-10.23,-1.0533,8831333.3,3.3047,3.5258,0.1043,30
ia,1,28,-10.45,-2.4367,8660333.3,3.3906,3.096,0.0693,30
ia,1,29,-10.22,-1.9667,8607333.3,3.3616,3.2222,0.1063,30
ia,1,30,-11.27,-3.1267,9132000.0,3.0523,3.1226,0.0727,30
ia,1,31,-9.2533,-1.1333,9150000.0,3.7429,3.1525,0.089,30
ia,2,1,-9.3333,-0.8467,9094333.3,3.768,2.9344,0.187,30
ia,2,2,-10.43,-2.0967,10117000.0,3.4918,3.1712,0.1167,30
ia,2,3,-10.6967,-2.1867,9402666.7,3.4254,3.4255,0.0603,30
ia,2,4,-11.69,-2.1633,10059333.3,2.9883,3.6479,0.1457,30
ia,2,5,-11.7433,-2.09,10154000.0,2.9533,3.0778,0.0857,30
ia,2,6,-10.08,-0.4333,10323666.7,3.3694,2.8163,0.1173,30
ia,2,7,-9.3,-1.4133,10064333.3,3.4723,3.0103,0.068,30
ia,2,8,-9.7467,-1.2667,11113666.7,3.333,3.096,0.0703,30
ia,2,9,-9.2367,-0.9633,10546333.3,3.4427,3.4221,0.1277,30
ia,2,10,-10.0367,-1.5367,11125000.0,3.2665,3.5895,0.0937,30
ia,2,11,-10.8467,-1.0467,10710666.7,3.1589,3.6046,0.111,30
ia,2,12,-9.68,-1.66,12277666.7,3.0013,3.3998,0.0523,30
ia,2,13,-10.24,0.03,11598666.7,3.0933,2.9691,0.109,30
ia,2,14,-7.8867,0.8967,11293666.7,3.6439,3.4887,0.1187,30
ia,2,15,-9.3133,-0.0267,12058000.0,3.3899,3.5928,0.1013,30
ia,2,16,-9.8033,-0.5533,12542333.3,3.1265,3.3615,0.0623,30
ia,2,17,-8.7067,0.64,11785000.0,3.5185,3.5145,0.1427,30
ia,2,18,-7.96,2.8767,12570333.3,3.7288,3.5064,0.0707,30
ia,2,19,-7.7567,2.3467,12498333.3,3.9064,3.016,0.0827,30
ia,2,20,-5.51,3.5733,11219000.0,4.486,3.345,0.31,30
ia,2,21,-5.93,3.1167,11743000.0,4.1469,3.2681,0.073,30
ia,2,22,-5.6733,3.8467,12252333.3,4.1661,3.1537,0.092,30
ia,2,23,-5.79,2.7367,11973000.0,4.4101,3.2923,0.1403,30
ia,2,24,-6.4733,2.6133,11261333.3,4.0216,3.7317,0.319,30
ia,2,25,-6.7633,2.9267,13503666.7,3.9397,3.3498,0.203,30
