region_key,state,planting_month,planting_day,variety_name,method,source
mn,MN,5,6,Grain_maize_201,"midpoint of the state's most active corn planting period; shortest maturity class of the WOFOST Grain_maize_201..205 ladder, matching the northern end of the US relative-maturity gradient","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
sd,SD,5,10,Grain_maize_201,"midpoint of the state's most active corn planting period; shortest maturity class of the WOFOST Grain_maize_201..205 ladder, matching the northern end of the US relative-maturity gradient","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
wi,WI,5,8,Grain_maize_202,"midpoint of the state's most active corn planting period; short maturity class, one step up the WOFOST Grain_maize_201..205 ladder","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
ia,IA,5,4,Grain_maize_203,midpoint of the state's most active corn planting period; mid maturity class of the WOFOST Grain_maize_201..205 ladder,"USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
ne_irrigated,NE,5,3,Grain_maize_203,"midpoint of the state's most active corn planting period; mid maturity class of the WOFOST Grain_maize_201..205 ladder This is an irrigation stratum of a state node 1 split: both strata of a state keep that state's planting date and maturity class, so the strata differ only in water regime and in the weather at their own points","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
ne_rainfed,NE,5,3,Grain_maize_203,"midpoint of the state's most active corn planting period; mid maturity class of the WOFOST Grain_maize_201..205 ladder This is an irrigation stratum of a state node 1 split: both strata of a state keep that state's planting date and maturity class, so the strata differ only in water regime and in the weather at their own points","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
oh,OH,5,11,Grain_maize_204,midpoint of the state's most active corn planting period; long maturity class of the WOFOST Grain_maize_201..205 ladder,"USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
il,IL,5,4,Grain_maize_204,midpoint of the state's most active corn planting period; long maturity class of the WOFOST Grain_maize_201..205 ladder,"USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
in,IN,5,6,Grain_maize_204,midpoint of the state's most active corn planting period; long maturity class of the WOFOST Grain_maize_201..205 ladder,"USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
mo,MO,4,18,Grain_maize_205,"midpoint of the state's most active corn planting period; longest maturity class of the WOFOST Grain_maize_201..205 ladder, matching the southern end of the US relative-maturity gradient","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
ks_irrigated,KS,4,22,Grain_maize_205,"midpoint of the state's most active corn planting period; longest maturity class of the WOFOST Grain_maize_201..205 ladder, matching the southern end of the US relative-maturity gradient This is an irrigation stratum of a state node 1 split: both strata of a state keep that state's planting date and maturity class, so the strata differ only in water regime and in the weather at their own points","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
ks_rainfed,KS,4,22,Grain_maize_205,"midpoint of the state's most active corn planting period; longest maturity class of the WOFOST Grain_maize_201..205 ladder, matching the southern end of the US relative-maturity gradient This is an irrigation stratum of a state node 1 split: both strata of a state keep that state's planting date and maturity class, so the strata differ only in water regime and in the weather at their own points","USDA NASS, Usual Planting and Harvesting Dates for U.S. Field Crops (Agricultural Handbook 628), corn; maturity class assigned by latitude (see README)"
