region_key,state,regime,trigger_depletion_fraction,irrigation_amount_cm,efficiency,method,source
ia,IA,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
il,IL,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
mn,MN,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
ne_irrigated,NE,irrigated,0.50,2.54,0.85,"soil-moisture-triggered irrigation inside the same Wofost72_WLP_FD engine the rainfed regions use: a PCSE StateEvent on SM with zero_condition 'falling', firing when the profile has dried to trigger_depletion_fraction of its plant-available water, i.e. at SM = SMW + (1 - trigger_depletion_fraction) x (SMFCF - SMW) from this region's soils.csv row. The water balance stays live, so a drought still shows a signal here; a potential-production run would erase it. irrigation_amount_cm is a NET application depth in CENTIMETRES: PCSE's water balance reads irrigation_amount as cm (RIRR, cm/day, classic_waterbalance.py) and multiplies it by efficiency. Modelled supply is unconstrained -- no aquifer decline, no allocation limit, no pumping-capacity ceiling in extreme heat -- so the drought protection simulated here is an upper bound, not a forecast of what a well can actually deliver. See README","management-allowed depletion of 50 percent of plant-available water, and centre-pivot application efficiency of 85 to 90 percent: University of Nebraska-Lincoln Extension NebGuide G1850, Irrigation Management for Corn; application depth 0.75 to 1.3 inches for medium- and fine-textured soils, same publication, with 1.0 inch = 2.54 cm taken as the mid-range increment; 0.85 as the centre-pivot efficiency assumed for general planning purposes: K-State Research and Extension L915, Using Evapotranspiration Reports for Center Pivot Irrigation Scheduling"
ne_rainfed,NE,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
in,IN,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
sd,SD,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
oh,OH,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
wi,WI,rainfed,,,,"rainfed (water-limited, free-draining): no irrigation events are scheduled, so the agromanagement PCSE receives is identical to the one every region in this bundle used before brief 0002. The eight unsplit states and the two rainfed strata keep that behaviour exactly","agromet-bundles/crop-weather/regions.csv (node 1 owns the region set): this row is either a rainfed stratum, or a state whose irrigated share of harvested corn acres is below node 1's 20 percent split threshold and which is therefore not split at all"
ks_irrigated,KS,irrigated,0.50,2.54,0.85,"soil-moisture-triggered irrigation inside the same Wofost72_WLP_FD engine the rainfed regions use: a PCSE StateEvent on SM with zero_condition 'falling', firing when the profile has dried to trigger_depletion_fraction of its plant-available water, i.e. at SM = SMW + (1 - trigger_depletion_fraction) x (SMFCF - SMW) from this region's soils.csv row. The water balance stays live, so a drought still shows a signal here; a potential-production run would erase it. irrigation_amount_cm is a NET application depth in CENTIMETRES: PCSE's water balance reads irrigation_amount as cm (RIRR, cm/day, classic_waterbalance.py) and multiplies it by efficiency. Modelled supply is unconstrained -- no aquifer decline, no allocation limit, no pumping-capacity ceiling in extreme heat -- so the drought protection simulated here is an upper bound, not a forecast of what a well can actually deliver. See README","management-allowed depletion of 50 percent of plant-available water, and centre-pivot application efficiency of 85 to 90 percent: University of Nebraska-Lincoln Extension NebGuide G1850, Irrigation Management for Corn; application depth 0.75 to 1.3 inches for medium- and fine-textured soils, same publication, with 1.0 inch = 2.54 cm taken as the mid-range increment; 0.85 as the centre-pivot efficiency assumed for general planning purposes: K-State Research and Extension L915, Using Evapotranspiration Reports for Center Pivot Irrigation Scheduling"
